number of training samples = 28251
number of testing samples  = 3139
model layer: [2022, 1200, 560, 480, 320, 240, 120, 1]
activation: relu
epoch train_loss test_loss lr time(s)
214 4.1250e+03 4.9479e+03 3.487e-05 24.583
215 4.1140e+03 4.9790e+03 3.487e-05 22.960
216 4.1476e+03 5.5335e+03 3.487e-05 23.019
217 4.0778e+03 5.0508e+03 3.487e-05 23.220
218 4.1133e+03 5.0267e+03 3.487e-05 23.642
219 4.0960e+03 5.0768e+03 3.487e-05 23.066
220 4.0634e+03 5.1168e+03 3.138e-05 23.106
221 4.0457e+03 5.0194e+03 3.138e-05 23.106
222 4.0710e+03 5.0093e+03 3.138e-05 23.579
223 4.0549e+03 4.8573e+03 3.138e-05 24.268
224 4.0402e+03 4.9668e+03 3.138e-05 23.805
225 4.0445e+03 5.0642e+03 3.138e-05 24.643
226 4.0334e+03 5.0276e+03 3.138e-05 23.816
227 4.0356e+03 5.0324e+03 3.138e-05 24.321
228 4.0591e+03 4.8403e+03 3.138e-05 23.275
229 4.0719e+03 4.8847e+03 3.138e-05 23.189
230 3.9933e+03 4.8985e+03 3.138e-05 23.856
231 3.9969e+03 4.9263e+03 3.138e-05 23.125
232 4.0044e+03 5.0575e+03 3.138e-05 23.301
233 3.9915e+03 4.8346e+03 3.138e-05 24.192
234 4.0177e+03 4.8951e+03 3.138e-05 22.569
235 3.9780e+03 5.2071e+03 3.138e-05 22.766
236 4.0178e+03 5.1676e+03 3.138e-05 23.669
237 3.9699e+03 4.8400e+03 3.138e-05 23.129
238 3.9701e+03 5.5142e+03 3.138e-05 23.266
239 3.9794e+03 5.2409e+03 3.138e-05 24.525
240 3.9588e+03 4.8933e+03 2.824e-05 24.396
241 3.9018e+03 5.2961e+03 2.824e-05 23.666
242 3.9549e+03 5.0809e+03 2.824e-05 23.887
243 3.9195e+03 4.8817e+03 2.824e-05 23.186
244 3.9216e+03 4.8259e+03 2.824e-05 23.840
245 3.9137e+03 4.8735e+03 2.824e-05 24.177
246 3.9205e+03 5.4646e+03 2.824e-05 23.727
247 5.2597e+03 5.0505e+03 2.824e-05 23.250
248 3.9713e+03 4.9037e+03 2.824e-05 23.160
249 3.9169e+03 4.9315e+03 2.824e-05 23.426
250 3.9123e+03 4.9168e+03 2.824e-05 23.602
251 3.9122e+03 5.0016e+03 2.824e-05 24.622
252 3.9095e+03 4.9743e+03 2.824e-05 23.969
253 3.9070e+03 4.9947e+03 2.824e-05 23.244
254 3.8975e+03 8.0464e+03 2.824e-05 23.479
255 3.9585e+03 4.7739e+03 2.824e-05 23.639
256 3.8686e+03 4.7762e+03 2.824e-05 23.569
257 3.8792e+03 4.8693e+03 2.824e-05 23.331
258 3.8697e+03 5.0646e+03 2.824e-05 24.187
259 3.8704e+03 4.8037e+03 2.824e-05 23.521
260 3.8432e+03 4.9542e+03 2.542e-05 23.371
261 3.8599e+03 5.0694e+03 2.542e-05 24.056
262 3.8677e+03 4.8261e+03 2.542e-05 24.079
263 3.8388e+03 4.8922e+03 2.542e-05 23.225
264 3.8297e+03 4.8393e+03 2.542e-05 24.718
265 3.8782e+03 4.8118e+03 2.542e-05 23.350
266 3.8235e+03 6.1975e+03 2.542e-05 23.280
267 3.8313e+03 4.8277e+03 2.542e-05 23.073
268 3.8176e+03 4.7678e+03 2.542e-05 23.068
269 3.8359e+03 4.8799e+03 2.542e-05 22.986
270 3.8373e+03 4.8475e+03 2.542e-05 22.691
271 3.8349e+03 4.8164e+03 2.542e-05 23.484
272 3.8305e+03 4.8260e+03 2.542e-05 23.453
273 3.8120e+03 4.8779e+03 2.542e-05 25.012
274 3.8115e+03 4.8568e+03 2.542e-05 23.545
275 3.7862e+03 4.7835e+03 2.542e-05 23.389
276 3.8333e+03 4.8921e+03 2.542e-05 23.240
277 3.7953e+03 5.0867e+03 2.542e-05 23.105
278 3.7980e+03 4.7537e+03 2.542e-05 22.914
279 3.7601e+03 4.9381e+03 2.542e-05 24.047
280 3.7957e+03 4.9238e+03 2.288e-05 23.014
281 3.7559e+03 4.7556e+03 2.288e-05 22.793
282 3.7807e+03 4.7341e+03 2.288e-05 22.843
283 3.7480e+03 4.7554e+03 2.288e-05 23.091
284 3.7738e+03 4.9633e+03 2.288e-05 23.197
285 3.7648e+03 4.8305e+03 2.288e-05 23.467
286 3.7419e+03 6.2750e+03 2.288e-05 22.524
287 3.8543e+03 4.7622e+03 2.288e-05 24.809
288 3.7522e+03 4.7598e+03 2.288e-05 25.345
289 3.7571e+03 4.8135e+03 2.288e-05 24.970
290 3.7382e+03 4.8826e+03 2.288e-05 26.740
291 3.7342e+03 4.7662e+03 2.288e-05 22.869
292 3.7409e+03 4.7247e+03 2.288e-05 22.832
293 3.7412e+03 4.9030e+03 2.288e-05 22.899
294 3.7455e+03 4.7741e+03 2.288e-05 22.880
